college,latitude,longitude,visited_status
MIT,42.3582529,-71.0966272383055,want
Harvard University,42.36574325,-71.12221394207614,FALSE
Tufts University,42.40649125,-71.11800725402092,want
Boston University,42.3504215,-71.10322831831216,FALSE
Brown University,41.8186395,-71.4088008716793,FALSE
Yale University,41.25713055,-72.98966960152231,FALSE
University of Chicago,41.79139685,-87.60084387193544,want
University of Columbia,40.80775585,-73.96161411567529,FALSE
Princeton University,40.33867515,-74.65836549131683,want
Johns Hopkins University,39.33020225,-76.62185357858337,want
Georgetown University,38.90893925,-77.07457962060826,FALSE
University of Pennsylvania,39.950394450000005,-75.19467130666834,want
Swarthmore University,39.9029154,-75.35524190658495,want
Haverford University,40.0071506,-75.30694232576307,want
Carnegie Mellon University,40.4441897,-79.94271918393466,TRUE
University of Pittsburgh,40.44415295,-79.96246095144505,FALSE
Washington University in St. Louis,38.64724015,-90.3084017158684,want
Stanford University,37.43131385,-122.16936535498309,FALSE
UCLA,34.070877749999994,-118.44685031405577,FALSE
"University of California, Berkeley",37.87549965,-122.2390685139518,want
University of Southern California,34.02186895,-118.285857923125,want
Harvey Mudd University,34.10614005,-117.70872814971484,want
Georgia Tech University,33.7760948,-84.3988076699857,FALSE
Duke University,36.00015569999999,-78.94422972195878,want
Rice University,29.71679145,-95.40478113393792,FALSE
"University of Texas, Austin",30.2851494,-97.73393515146051,FALSE
Vanderbilt University,36.14380105,-86.80281889095295,TRUE
"University of Washington, Seattle",47.6554303,-122.30016924820552,FALSE
Oxford University,51.7583164,-1.265144872879043,want
Cambridge University,52.20577195,0.1151022372685868,want
Imperial College London,51.4989595,-0.1756406927631042,want
McGill University,45.50688675,-73.57908551043636,want
"University of Geneva, Switzerland",46.1985541,6.1509888,want
